Title,Date,Affiliations,Description,Response,Victims,Sponsor,Type,Category,Sources_1,Sources_2,Sources_3
Compromise of entities involved in the China-Philippines territorial dispute,7/12/2016,,"A threat actor targeted the Department of Justice of the Philippines, the Asia-Pacific Economic Cooperation (APEC), and a major international law firm representing one of the parties in the dispute over the Scarborough Shoal.",,Philippines,China,Espionage,"Government, Private sector",https://www.f-secure.com/documents/996508/1030745/nanhaishu_whitepaper.pdf,,
Operation Sphinx,7/21/2016,,This threat actor targets government and military organizations in Egypt and Israel for espionage purposes.,,"Egypt, Israel",,Espionage,"Government, Military",https://ti.360.com/upload/report/file/rmsxden20160721.pdf,,
"Compromise of computer networks associated with diplomats, journalists, and others in South Korea",8/1/2016,,"Threat actors targeted the email accounts of South Korean diplomats, journalists, and security officials.",Denouncement   http://english.yonhapnews.co.kr/news/2016/08/01/0200000000AEN20160801001152315.html,South Korea,Korea (Democratic People's Republic of),Espionage,Government,http://english.yonhapnews.co.kr/news/2016/08/01/0200000000AEN20160801001152315.html,http://www.theregister.co.uk/2016/08/03/norks_target_90_seoul_officials_journalists_pop_53_email_accounts/,
Compromise of a mobile app used by Ukrainian artillery units,12/22/2016,Believed to be the work of APT 28,A threat actor compromised a mobile app that Ukrainian artillery units used to assist with targeting. The compromise of the app is believed to have allowed the threat actor to monitor the movements of Ukrainian units in order to facilitate military targeting by Russian-backed rebels in eastern Ukraine.,Denial   http://www.mil.gov.ua/news/2017/01/06/informacziya-po-vtrati-u-zs-ukraini-80-gaubicz-d-30%E2%80%9D-ne-vidpovidae-dijsnosti/,Ukraine Armed Forces,Russian Federation,Espionage,Military,https://www.crowdstrike.com/wp-content/brochures/FancyBearTracksUkrainianArtillery.pdf,,
APT 16,12/16/2016,,"This threat actor targets and compromises Japanese and Taiwanese entities in the finance, tech, media, and government sectors.",,"Japan, Taiwan",China,Espionage,Private sector,https://www.fireeye.com/blog/threat-research/2015/12/the_eps_awakens.html,https://www.fireeye.com/blog/threat-research/2015/12/the-eps-awakens-part-two.html,
Targeting of Kazakh dissidents,8/2/2016,,Threat actors targeted lawyers and exiled Kazakh dissidents for the purpose of espionage.,,Kazakh dissidents,Kazakhstan,Espionage,Civil society,http://www.reuters.com/article/us-kazakhstan-cyber-idUSKCN10D1N2,https://www.eff.org/files/2016/08/03/i-got-a-letter-from-the-government.pdf,
Compromise of the networks at the German parliament (Bundestag),5/29/2015,Believed to be the work of APT 28,"A threat actor compromised the networks of the German parliament for the purpose of espionage. In May 2020, Germany’s federal prosecutor issued an arrest warrant against Russian citizen Dmitry Badin, who is believed to be a member of Russia’s elite hacking unit, APT 28. Afterward, Germany asked European Union governments to impose the bloc’s first cyber sanctions on Badin.",Denouncement   http://www.reuters.com/article/us-germany-russia-cyber-idUSKCN0Y41FC,Bundestag,Russian Federation,Espionage,Government,http://www.dw.com/en/data-stolen-during-hack-attack-on-german-parliament-berlin-says/a-18486900,http://www.reuters.com/article/us-germany-russia-cyber-idUSKCN0Y41FC,http://www.wsj.com/articles/german-parliament-struggles-to-purge-hackers-from-computer-network-1434127532
Compromise of a power grid in eastern Ukraine,12/23/2015,Possible link to Sandworm.,"In December 2015, a threat actor compromised power distribution companies in western Ukraine, causing a power outage for more than 230,000 residents. Several control centers were targeted by suspected Russian hackers, who were able to siphon operator credentials and gain access to the power grid for the Ivano-Frankivsk region. The power outage lasted as long as six hours in some areas. During the outage, threat actors also flooded customer services phone lines with calls to prevent customers from reporting the incident.

The compromise of the Ukrainian power grid was an escalation from previous disruptive incidents and the first confirmed cyber operation to successfully take down energy infrastructure. The incident set an ominous precedent for the security of power grids around the world. The electricity distribution system in Ukraine was again targeted in 2016.",Denouncement   http://www.reuters.com/article/us-ukraine-cybersecurity-idUSKCN0VL18E,Prikarpattiaoblenergo Electric Company,Russian Federation,Sabotage,Private sector,https://ics.sans.org/blog/2016/01/09/confirmation-of-a-coordinated-attack-on-the-ukrainian-power-grid,https://ics.sans.org/media/E-ISAC_SANS_Ukraine_DUC_5.pdf,https://www.wired.com/2016/03/inside-cunning-unprecedented-hack-ukraines-power-grid/
APT 30,4/12/2015,"Also known as Naikon, PLA Unit 78020, Lotus Panda. Possibly responsible for the JadeRAT tool. ",This threat actor uses spear-phishing techniques to target government and private sector agencies in the South China Sea region.,,"India, Thailand, South Korea, Saudi Arabia, Malaysia, United States, Vietnam, Cambodia, Indonesia, Myanmar, China, Laos, Singapore, Phillipines",China,Espionage,"Government, Private sector",https://www2.fireeye.com/rs/fireye/images/rpt-apt30.pdf,https://securelist.com/analysis/publications/69953/the-naikon-apt/,http://cdn2.hubspot.net/hubfs/454298/Project_CAMERASHY_ThreatConnect_Copyright_2015.pdf?t=1443030820943&submissionGuid=81f1c199-859f-41e9-955b-2eec13777720
Compromise of Anthem,2/6/2015,Believed to be the work of Deep Panda,"A threat actor compromised a U.S. health insurance company, resulting in compromised personal data on eighty million customers.",Criminal charges   https://www.justice.gov/opa/press-release/file/1161466/download,Anthem,China,Espionage,Private sector,http://money.cnn.com/2015/02/04/technology/anthem-insurance-hack-data-security/,http://www.nytimes.com/2015/02/05/business/hackers-breached-data-of-millions-insurer-says.html,http://www.usatoday.com/story/tech/2015/02/04/health-care-anthem-hacked/22900925/
Ocean Lotus,5/31/2015,Also known as APT 32,"This threat actor, known to use watering-hole attacks to compromise victims, targets organizations of interest to the Vietnamese government for espionage purposes. Victims have included human rights organizations, research institutes and maritime construction firms in China, and media organizations. Also believed to have been responsible for disclosing confidential Filipino government documents. ",,"China, United States, Philippines, Germany, Vietnam, Association of Southeast Asian Nations, Cambodia, Laos",Vietnam,Espionage,"Government, Private sector, Civil society",https://ti.360.com/upload/report/file/OceanLotus_Report-en-6.2.2.pdf,https://www.fireeye.com/blog/threat-research/2017/05/cyber-espionage-apt32.html,https://www.wired.com/2017/05/close-look-notorious-apt32-hacking-group-action/
Goblin Panda,6/1/2015,,This threat actor targets government agencies and entities in the defense and energy sectors in Southeast Asia with an interest in issues related to tensions in the South China Sea.,,Vietnam,China,,"Government, Private sector",https://www.crowdstrike.com/blog/rhetoric-foreshadows-cyber-activity-in-the-south-china-sea/,https://www.crowdstrike.com/blog/meet-crowdstrikes-adversary-of-the-month-for-august-goblin-panda/,
Gamaredon,4/28/2015,Also known as the Gamaredon Group.,A Russian-linked threat group known as Gamaredon uses custom-developed malware in attacks aimed at Ukraine. The group has been active since at least 2013.,,Ukraine,Russian Federation,Espionage,Government,https://www.securityweek.com/gamaredon-group-uses-custom-malware-ukraine-attacks,https://unit42.paloaltonetworks.com/unit-42-title-gamaredon-group-toolset-evolution/,https://www.lookingglasscyber.com/wp-content/uploads/2015/08/Operation_Armageddon_Final.pdf
Duqu 2.0,6/10/2015,Associated with Duqu. Believed to have been the tool used to compromise Kaspersky Labs.,"A threat actor, using a tool dubbed Duqu 2.0, targeted individuals and companies linked to the P5+1 (the five permanent member states of the UN Security Council, plus Germany), which was conducting negotiations on Iran's nuclear program.",,Iran,Israel,Espionage,"Government, Private sector",https://securelist.com/blog/research/70504/the-mystery-of-duqu-2-0-a-sophisticated-cyberespionage-actor-returns/,https://securelist.com/files/2015/06/The_Mystery_of_Duqu_2_0_a_sophisticated_cyberespionage_actor_returns.pdf,http://www.wsj.com/articles/spy-virus-linked-to-israel-targeted-hotels-used-for-iran-nuclear-talks-1433937601
Chafer,12/7/2015,Believed to use similar tools and infrastructure as OilRig,"This threat actor targets organizations in the aerospace, technology, telecommunications, and engineering sectors for the purpose of espionage.",,"Saudi Arabia, United Arab Emirates, Israel, Jordan, Turkey",Iran (Islamic Republic of),Espionage,Private sector,https://www.symantec.com/blogs/threat-intelligence/chafer-latest-attacks-reveal-heightened-ambitions,https://www.symantec.com/connect/blogs/iran-based-attackers-use-back-door-threats-spy-middle-eastern-targets,
APT 3,6/23/2015,"Also known as UPS, Gothic Panda, Buckeye, and Boyusec","This threat actor targets and compromises entities in the defense, construction, technology, and transportation sectors. Up until 2015, it was primarily focused on U.S. and UK entities, but it shifted to Hong Kong–based targets afterward. The U.S. Department of Justice indicted three members of this threat actor group in November 2017 for compromising the networks of three U.S. companies.",,"United States, United Kingdom, Hong Kong",China,Espionage,Private sector,https://www.fireeye.com/blog/threat-research/2015/06/operation-clandestine-wolf-adobe-flash-zero-day.html,http://www.secureworks.com/resources/blog/research/threat-group-0110-targets-manufacturing-and-financial-organizations-via-phishing/,http://www.symantec.com/connect/blogs/buckeye-cyberespionage-group-shifts-gaze-us-hong-kong
Emissary Panda,8/5/2015,"Also known as TG-3390, APT 27, and TEMP.Hippo. Believed to have been responsible for the compromise of a Mongolian data center.","This threat actor compromises web pages to lure targets for espionage purposes. It focuses on the aerospace, automotive, technology, and energy sectors, primarily in the United States and United Kingdom.",,"United States, United Kingdom, France",China,Espionage,"Government, Private sector",https://www.secureworks.com/research/threat-group-3390-targets-organizations-for-cyberespionage,https://www.erai.com/CustomUploads/ca/wp/2015_12_wp_operation_iron_tiger.pdf,https://www.threatconnect.com/blog/threatconnect-discovers-chinese-apt-activity-in-europe/
